bbox_left,bbox_top,bbox_right,bbox_bottom,word,block_no,line_no,word_no,page_no
230.44509887695312,726.8666381835938,248.56248474121094,734.7066040039062,€0.5bn,18,10,5,0
183.32110595703125,734.3636474609375,206.60867309570312,742.20361328125,(includes,18,11,5,0
207.55368041992188,734.3636474609375,226.64617919921875,742.20361328125,partner,18,11,6,0
227.59117126464844,734.3636474609375,248.572265625,742.20361328125,markets,18,11,7,0
185.4001007080078,741.8606567382812,195.21548461914062,749.7006225585938,and,18,12,5,0
196.16049194335938,741.8606567382812,219.78199768066406,749.7006225585938,common,18,12,6,0
220.7270050048828,741.8606567382812,248.56504821777344,749.7006225585938,functions)4,18,12,7,0
171.40280151367188,527.39892578125,188.79348754882812,538.0389404296875,Rest,1,0,0,0
189.93350219726562,527.39892578125,197.67884826660156,538.0389404296875,of,1,0,1,0
198.81886291503906,527.39892578125,211.5868682861328,538.0389404296875,the,1,0,2,0
212.7268829345703,527.39892578125,235.1203155517578,538.0389404296875,World,1,0,3,0
171.40280151367188,535.383544921875,198.18359375,553.3035888671875,22%,1,1,0,0
131.94430541992188,527.39892578125,159.316650390625,538.0389404296875,Europe,2,0,0,0
133.2012939453125,535.383544921875,159.31649780273438,553.3035888671875,76%,2,1,0,0
226.40570068359375,700.7721557617188,248.56065368652344,711.4121704101562,Other,-2,1,2,0
229.43260192871094,708.7567138671875,248.568603515625,726.6767578125,2%,-2,2,2,0
73.70079803466797,504.605712890625,102.8511962890625,518.0457153320312,Group,4,0,0,0
105.04719543457031,504.605712890625,139.28561401367188,518.0457153320312,service,4,0,1,0
141.48159790039062,504.605712890625,185.2335662841797,518.0457153320312,revenues,4,0,2,0
187.4295654296875,504.605712890625,207.150390625,518.0457153320312,(IAS,4,0,3,0
209.3463897705078,504.605712890625,220.9456024169922,518.0457153320312,18,4,0,4,0
223.1416015625,504.605712890625,250.8196258544922,518.0457153320312,basis),4,0,5,0
68.03150177001953,80.884033203125,143.05850219726562,114.4840316772461,Where,5,0,0,0
146.65550231933594,80.884033203125,180.60049438476562,114.4840316772461,we,5,0,1,0
184.19749450683594,80.884033203125,273.92449951171875,114.4840316772461,operate,5,0,2,0
68.03150177001953,125.08403015136719,81.68509674072266,138.52403259277344,We,6,0,0,0
83.30509948730469,125.08403015136719,118.13029479980469,138.52403259277344,manage,6,0,1,0
119.75029754638672,125.08403015136719,134.32308959960938,138.52403259277344,our,6,0,2,0
135.94308471679688,125.08403015136719,172.15550231933594,138.52403259277344,business,6,0,3,0
173.77549743652344,125.08403015136719,200.5019073486328,138.52403259277344,across,6,0,4,0
202.1219024658203,125.08403015136719,218.60391235351562,138.52403259277344,two,6,0,5,0
220.22390747070312,125.08403015136719,267.790771484375,138.52403259277344,geographic,6,0,6,0
269.4107666015625,125.08403015136719,300.3408203125,138.52403259277344,regions,6,0,7,0
301.9608459472656,125.08403015136719,307.9608459472656,138.52403259277344,–,6,0,8,0
68.031494140625,138.0800018310547,99.8494873046875,151.52000427246094,"Europe,",6,1,0,0
101.469482421875,138.0800018310547,117.77027893066406,151.52000427246094,and,6,1,1,0
119.3902816772461,138.0800018310547,138.30589294433594,151.52000427246094,Rest,6,1,2,0
139.92588806152344,138.0800018310547,148.42788696289062,151.52000427246094,of,6,1,3,0
150.04788208007812,138.0800018310547,164.3734893798828,151.52000427246094,the,6,1,4,0
165.9934844970703,138.0800018310547,190.74708557128906,151.52000427246094,World,6,1,5,0
